Elliptic curves with given 3-adic image

N=162, i=3, j=1, [ 1, -1, 0, 3, -1 ] - 7.8.0.1.
N=162, i=2, j=1, [ 1, -1, 1, -5, 5 ] - 7.16.0.1.
N=162, i=2, j=3, [ 1, -1, 1, -95, -697 ] - 7.16.0.2.
N=15341, i=1, j=1, [ 0, -1, 1, -10158, 804091 ] - 7.21.0.1.
N=208, i=4, j=1, [ 0, 0, 0, -43, -166 ] - 7.24.0.1.
N=208, i=4, j=2, [ 0, 0, 0, -3403, 83834 ] - 7.24.0.2.
N=5733, i=4, j=1, [ 1, -1, 1, -965, -11294 ] - 7.24.0.3.
N=9225, i=1, j=1, [ 0, 0, 1, 2580, 549326 ] - 7.28.0.1.
N=26, i=2, j=1, [ 1, -1, 1, -3, 3 ] - 7.48.0.1.
N=294, i=1, j=1, [ 1, 1, 1, -50, 293 ] - 7.48.0.2.
N=637, i=1, j=1, [ 1, -1, 0, -107, 454 ] - 7.48.0.3.
N=294, i=1, j=2, [ 1, 1, 1, -6910, -232261 ] - 7.48.0.4.
N=26, i=2, j=2, [ 1, -1, 1, -213, -1257 ] - 7.48.0.5.
N=637, i=1, j=2, [ 1, -1, 0, 628, -17823 ] - 7.48.0.6.
N=2450, i=1, j=1, [ 1, -1, 0, -107, -379 ] - 7.56.1.2.
N=2450, i=27, j=1, [ 1, -1, 1, -2680, -50053 ] - 7.112.1.2.

Elliptic curves with given 11-adic image

N=11, i=1, j=1, [ 0, -1, 1, -10, -20 ] - 1.1.0.1.
N=232544, i=6, j=1, [ 0, 0, 0, -1129345880, -86028258620304 ] - 11.55.1.1.
N=1089, i=6, j=1, [ 1, -1, 0, -270, 1777 ] - 11.60.1.3.
N=1089, i=6, j=2, [ 1, -1, 0, -2745, -215726 ] - 11.60.1.4.
N=121, i=3, j=2, [ 1, 1, 0, -3632, 82757 ] - 11.120.1.3.
N=121, i=1, j=2, [ 1, 1, 1, -305, 7888 ] - 11.120.1.4.
N=121, i=1, j=1, [ 1, 1, 1, -30, -76 ] - 11.120.1.8.
N=121, i=3, j=1, [ 1, 1, 0, -2, -7 ] - 11.120.1.9.




