Magma V2.26-3     Fri May 14 2021 09:41:06 on weil     [Seed = 3893818732]
Type ? for help.  Type <Ctrl>-D to quit.

Loading file "5adicim.txt"
Loading "gl2data.m"
N=11, i=1, j=1, [ 0, -1, 1, -10, -20 ] - 5.120.0.1.
N=11, i=1, j=2, [ 0, -1, 1, -7820, -263580 ] - 25.120.0.3.
N=11, i=1, j=3, [ 0, -1, 1, 0, 0 ] - 25.120.0.1.
N=38, i=2, j=1, [ 1, 1, 1, 0, 1 ] - 5.24.0.1.
N=38, i=2, j=2, [ 1, 1, 1, -70, -279 ] - 5.24.0.3.
N=50, i=1, j=1, [ 1, 0, 1, -1, -2 ] - 5.24.0.4.
N=50, i=1, j=2, [ 1, 0, 1, -126, -552 ] - 5.24.0.4.
N=50, i=1, j=3, [ 1, 0, 1, -76, 298 ] - 5.24.0.2.
N=50, i=1, j=4, [ 1, 0, 1, 549, -2202 ] - 5.24.0.2.
N=50, i=2, j=1, [ 1, 1, 1, -3, 1 ] - 5.24.0.1.
N=50, i=2, j=2, [ 1, 1, 1, 22, -9 ] - 5.24.0.1.
N=50, i=2, j=3, [ 1, 1, 1, -13, -219 ] - 5.24.0.3.
N=50, i=2, j=4, [ 1, 1, 1, -3138, -68969 ] - 5.24.0.3.
N=57, i=3, j=1, [ 0, 1, 1, 20, -32 ] - 5.24.0.1.
N=57, i=3, j=2, [ 0, 1, 1, -4390, -113432 ] - 5.24.0.3.
N=58, i=2, j=1, [ 1, 1, 1, 5, 9 ] - 5.24.0.1.
N=58, i=2, j=2, [ 1, 1, 1, -455, -3951 ] - 5.24.0.3.
N=66, i=3, j=1, [ 1, 0, 0, -45, 81 ] - 5.24.0.1.
N=66, i=3, j=2, [ 1, 0, 0, 115, 561 ] - 5.24.0.1.
N=66, i=3, j=3, [ 1, 0, 0, -10065, -389499 ] - 5.24.0.3.
N=66, i=3, j=4, [ 1, 0, 0, -10055, -390309 ] - 5.24.0.3.
N=75, i=1, j=1, [ 0, -1, 1, -8, -7 ] - 5.24.0.4.
N=75, i=1, j=2, [ 0, -1, 1, 42, 443 ] - 5.24.0.2.
N=75, i=3, j=1, [ 0, 1, 1, 2, 4 ] - 5.24.0.1.
N=75, i=3, j=2, [ 0, 1, 1, -208, -1256 ] - 5.24.0.3.
N=99, i=4, j=1, [ 0, 0, 1, -3, -5 ] - 25.60.0.1.
N=99, i=4, j=2, [ 0, 0, 1, -93, 625 ] - 5.60.0.1.
N=99, i=4, j=3, [ 0, 0, 1, -70383, 7187035 ] - 25.60.0.2.
N=110, i=1, j=1, [ 1, 1, 1, 10, -45 ] - 5.24.0.1.
N=110, i=1, j=2, [ 1, 1, 1, -5940, -178685 ] - 5.24.0.3.
N=118, i=2, j=1, [ 1, 1, 1, -25, 39 ] - 5.24.0.1.
N=118, i=2, j=2, [ 1, 1, 1, 115, -2481 ] - 5.24.0.3.
N=121, i=4, j=1, [ 0, -1, 1, -40, -221 ] - 25.60.0.1.
N=121, i=4, j=2, [ 0, -1, 1, -1250, 31239 ] - 5.60.0.1.
N=121, i=4, j=3, [ 0, -1, 1, -946260, 354609639 ] - 25.60.0.2.
N=123, i=1, j=1, [ 0, 1, 1, -10, 10 ] - 5.24.0.1.
N=123, i=1, j=2, [ 0, 1, 1, 20, -890 ] - 5.24.0.3.
N=150, i=1, j=1, [ 1, 0, 0, -3, -3 ] - 5.24.0.3.
N=150, i=1, j=2, [ 1, 0, 0, -53, -153 ] - 5.24.0.3.
N=150, i=1, j=3, [ 1, 0, 0, -28, 272 ] - 5.24.0.1.
N=150, i=1, j=4, [ 1, 0, 0, -828, 9072 ] - 5.24.0.1.
N=150, i=2, j=1, [ 1, 1, 0, -75, -375 ] - 5.24.0.4.
N=150, i=2, j=2, [ 1, 1, 0, -1325, -19125 ] - 5.24.0.4.
N=150, i=2, j=3, [ 1, 1, 0, -700, 34000 ] - 5.24.0.2.
N=150, i=2, j=4, [ 1, 1, 0, -20700, 1134000 ] - 5.24.0.2.
N=155, i=1, j=1, [ 0, -1, 1, 10, 6 ] - 5.24.0.1.
N=155, i=1, j=2, [ 0, -1, 1, -840, -9114 ] - 5.24.0.3.
N=158, i=3, j=1, [ 1, 1, 1, -420, 3109 ] - 5.24.0.1.
N=158, i=3, j=2, [ 1, 1, 1, -23380, -1385691 ] - 5.24.0.3.
N=171, i=3, j=1, [ 0, 0, 1, 177, 1035 ] - 5.12.0.1.
N=171, i=3, j=2, [ 0, 0, 1, -39513, 3023145 ] - 5.12.0.2.
N=175, i=1, j=1, [ 0, -1, 1, 2, -2 ] - 5.24.0.3.
N=175, i=1, j=2, [ 0, -1, 1, -148, 748 ] - 5.24.0.1.
