Magma V2.26-2     Sat Apr 24 2021 14:51:39 on weil     [Seed = 4179489024]
Type ? for help.  Type <Ctrl>-D to quit.

Loading file "11adicim.txt"
Loading "gl2data.m"
N=64009, i=3, j=2, [ 1, 1, 1, -161356, -97589018 ] - 11.60.1.4.
N=69696, i=41, j=1, [ 0, 0, 0, -17292, 875248 ] - 11.60.1.3.
N=69696, i=41, j=2, [ 0, 0, 0, -175692, -110803088 ] - 11.60.1.4.
N=69696, i=43, j=1, [ 0, 0, 0, -1452, 83248 ] - 11.60.1.4.
N=69696, i=43, j=2, [ 0, 0, 0, -2092332, -1164955088 ] - 11.60.1.3.
N=69696, i=149, j=1, [ 0, 0, 0, -1452, -83248 ] - 11.60.1.4.
N=69696, i=149, j=2, [ 0, 0, 0, -2092332, 1164955088 ] - 11.60.1.3.
N=69696, i=151, j=1, [ 0, 0, 0, -17292, -875248 ] - 11.60.1.3.
N=69696, i=151, j=2, [ 0, 0, 0, -175692, 110803088 ] - 11.60.1.4.
N=94864, i=69, j=1, [ 0, -1, 0, -23536, -1382016 ] - 11.60.1.3.
N=94864, i=69, j=2, [ 0, -1, 0, -239136, 176030912 ] - 11.60.1.4.
N=94864, i=70, j=1, [ 0, -1, 0, -1976, -131536 ] - 11.60.1.4.
N=94864, i=70, j=2, [ 0, -1, 0, -2847896, 1850854832 ] - 11.60.1.3.
N=101761, i=2, j=1, [ 1, 0, 1, -25248, -1546261 ] - 11.60.1.3.
N=101761, i=2, j=2, [ 1, 0, 1, -256523, 195463035 ] - 11.60.1.4.
N=101761, i=3, j=1, [ 1, 0, 0, -2120, -147047 ] - 11.60.1.4.
N=101761, i=3, j=2, [ 1, 0, 0, -3054950, 2055018109 ] - 11.60.1.3.
N=116281, i=2, j=1, [ 1, 0, 1, -2423, 179199 ] - 11.60.1.4.
N=116281, i=2, j=2, [ 1, 0, 1, -3490853, -2510792715 ] - 11.60.1.3.
N=116281, i=3, j=1, [ 1, 0, 0, -28850, 1883773 ] - 11.60.1.3.
N=116281, i=3, j=2, [ 1, 0, 0, -293125, -238807326 ] - 11.60.1.4.
N=148225, i=31, j=1, [ 1, 1, 1, -3088, 256906 ] - 11.60.1.4.
N=148225, i=31, j=2, [ 1, 1, 1, -4449838, -3614950844 ] - 11.60.1.3.
